#Digilent WaveForms Network Analyzer - Bode,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,
#Serial Number: SN:210321AD95A0,,,,,,,,,
#Date Time: 2020-05-28 13:00:58.045,,,,,,,,,
#Start: 100 Hz,,,,,,,,,
#Stop: 1e+07 Hz,,,,,,,,,
#Steps: 201,,,,,,,,,
#Wavegen: Wavegen2,,,,,,,,,
#Amplification: 1 X,,,,,,,,,
#Settle: 10 ms,,,,,,,,,
#MinPeriods: 16 ,,,,,,,,,
#Channel: Channel 1,,,,,,,,,
#Range: 5.52426 V,,,,,,,,,
#Offset: -0.00012377 V,,,,,,,,,
#Relative: no,,,,,,,,,
#Channel: Channel 2,,,,,,,,,
#Range: 5.51327 V,,,,,,,,,
#Offset: -0.000290047 V,,,,,,,,,
#Relative: yes,,,,,,,,,
#Power Supplies: OFF,,,,,,,,,
#Positive Supply: Rdy,,,,,,,,,
#Voltage: 4.3 V,,,,,,,,,
#Negative Supply: OFF,,,,,,Data used to create graph:,,,
#Voltage: -1 V,,,,,,,,,
,,,,,,,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),,,Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1584.893192,-0.006022203,-71.30637459,-169.6355652,,,6309573.445,-2.954023376,-1.519117699,0.480881614
1678.804018,-0.007019086,-67.0461241,178.0709508,,,6683439.176,-2.793740455,-1.564553592,0.127674414
1778.27941,-0.008188332,-65.24780494,179.8994398,,,7079457.844,-2.59355118,-1.518865193,-0.174574388
1883.649089,-0.010996609,-64.13928992,178.6665142,,,7498942.093,-2.381662355,-1.361272521,-0.538093731
1995.262315,-0.011756341,-65.21719651,174.8131024,,,7943282.347,-2.133626419,-1.091857985,-0.911577035
2113.48904,-0.010015309,-64.56198945,179.4924661,,,8413951.416,-1.816636211,-0.699485215,-1.407838853
2238.721139,-0.012411774,-67.28070164,167.4156904,,,8912509.381,-1.412665114,-0.149378784,-1.991197811
2371.373706,-0.017893228,-69.70321232,149.1878327,,,9440608.763,-0.921704944,0.58858091,-2.821198518
2511.886432,-0.017320701,-69.95024355,-167.952396,,,10000000,-0.196712793,1.571200284,-3.990322837
2660.72506,-0.018400089,-66.90902233,156.6231949,,,,,,
2818.382931,-0.017489314,-69.60090515,162.9951531,,,,,,
2985.382619,-0.026261743,-66.62709454,157.3549844,,,,,,
3162.27766,-0.023471674,-67.45737942,158.5622219,,,,,,
3349.654392,-0.026813945,-67.32335532,-167.4634816,,,,,,
3548.133892,-0.02462392,-68.92666898,152.3535221,,,,,,
3758.374043,-0.035926011,-68.10805348,161.7243564,,,,,,
3981.071706,-0.036655037,-64.97058957,159.1391969,,,,,,
4216.965034,-0.034828602,-63.94868652,-176.4901687,,,,,,
4466.835922,-0.042854319,-71.29164211,141.0081363,,,,,,
4731.51259,-0.044501087,-64.47997548,142.3366031,,,,,,
5011.872336,-0.043073506,-64.50523799,156.0530041,,,,,,
5308.844442,-0.050240942,-65.35418605,165.5547604,,,,,,
5623.413252,-0.051056012,-67.21277707,132.9188099,,,,,,
5956.621435,-0.055197062,-68.45928766,135.6640007,,,,,,
6309.573445,-0.055020835,-66.32446393,147.8180096,,,,,,
6683.439176,-0.061922491,-65.4774313,154.4120214,,,,,,
7079.457844,-0.058720741,-61.44118278,157.330629,,,,,,
7498.942093,-0.062878289,-64.46422829,166.3939324,,,,,,
7943.282347,-0.061245226,-66.46091071,156.9995963,,,,,,
8413.951416,-0.071866251,-68.26939599,132.2647876,,,,,,
8912.509381,-0.063529755,-67.21230739,153.3695195,,,,,,
9440.608763,-0.065080751,-60.62093756,124.9136322,,,,,,
10000,-0.068094917,-62.64335423,136.0122123,,,,,,
10592.53725,-0.079543182,-64.71251114,149.7347945,,,,,,
11220.18454,-0.079155605,-65.70358169,142.5606159,,,,,,
11885.02227,-0.07396462,-63.58979236,126.3537305,,,,,,
12589.25412,-0.084019317,-64.72074293,110.9424096,,,,,,
13335.21432,-0.07346159,-64.10371296,162.0368917,,,,,,
14125.37545,-0.066065011,-60.53800031,128.6802556,,,,,,
14962.35656,-0.06403489,-64.94232519,109.3627886,,,,,,
15848.93192,-0.064830973,-64.78788081,110.9848878,,,,,,
16788.04018,-0.084129924,-64.4737749,113.4960735,,,,,,
17782.7941,-0.066934558,-61.32924964,106.5249015,,,,,,
18836.49089,-0.068957037,-61.25042664,121.8666065,,,,,,
19952.62315,-0.065802518,-64.34685353,76.72079388,,,,,,
21134.8904,-0.064561092,-62.18412029,102.2131772,,,,,,
22387.21139,-0.076064732,-60.66291358,125.3096478,,,,,,
23713.73706,-0.076512625,-57.83954924,88.74368368,,,,,,
25118.86432,-0.076297362,-61.43566169,112.0551505,,,,,,
26607.2506,-0.076920688,-60.23722301,122.5789915,,,,,,
28183.82931,-0.062830377,-56.9850246,70.82774142,,,,,,
29853.82619,-0.057821952,-59.91772474,109.7213388,,,,,,
31622.7766,-0.059361099,-58.31554417,111.6803329,,,,,,
33496.54392,-0.070858971,-58.58669372,100.5025445,,,,,,
35481.33892,-0.068602184,-59.39252245,115.811566,,,,,,
37583.74043,-0.067079168,-55.70764168,97.95353744,,,,,,
